feature,importance
sector_strength_rank_pct,515
label_up_5d_4pct,337
close,186
bb_pct,151
macd_hist,111
score_ma_10,88
rsi_delta_3d,83
score_ma_5,80
volatility_20d,76
close_vs_20d_high_pct,71
broker_top5_buy_amount_share,70
broker_avg_trade_size,64
dump_score,62
change_pct,61
ret_5d,59
ret_20d,58
pump_score,54
atr14,49
ret_3d,46
turnover,44
volume_ratio_5_20,41
broker_active_count,40
close_vs_20d_low_pct,34
broker_top3_buy_amount_share,34
volume_ratio,34
ret_10d,31
volatility_5d,28
rsi14,28
turnover_ratio_3_20,27
score_delta_3d,25
macd,22
trades_ratio_5_20,17
liquidity_spike_ma_5,16
distance_from_ema20_pct,15
liquidity_spike,14
trades,14
total_score,10
ret_1d,8
broker_total_buy_amount,6
broker_total_sell_amount,4
volume,3
broker_total_buy_qty,1
net_broker_flow,0
broker_distribution,0
broker_total_sell_qty,0
broker_total_net_qty,0
broker_top5_net_qty_share,0
broker_top3_net_qty_share,0
broker_buy_sell_ratio,0
broker_accumulation,0
sector_change_pct,0
sector_index_value,0
sector_point_change,0
net_broker_flow_ma_3,0
broker_accumulation_ma_3,0
net_broker_flow_z20,0
net_broker_flow_ma_5,0
broker_distribution_ma_3,0
dump_score_ma_3,0
pump_score_ma_3,0
sector_change_ma_10,0
sector_change_ma_5,0
